,control_day3,covid_day3,chi
21500,200.594195595,43.559947245000004,566.1107672181588
17500,523.3373450500001,193.03406030000002,565.1865776800406
19857,22.9497505,0.866953002,562.4871754439985
31643,22.935343835,0.866953002,561.753489329331
17199,22.926699845,0.866953002,561.313507946361
10218,40.675004615000006,2.6008590055000003,557.3699154117443
30462,615.3179137,245.68813185,556.0959522208137
27423,650.7828286,266.14991165,555.8614687650813
26401,2300.0612852500003,1414.0705281,555.120558809722
27567,569.1619314,220.2191669,552.9085165969831
29595,993.51333415,480.05724154999996,549.1785899882127
7830,442.00750515000004,152.924160675,546.4746687768704
6708,387.1776444,125.47812375500001,545.8054125796868
9115,397.50850255,130.61344415000002,545.3724359073904
29696,1800.918725,1046.5619575,543.7366881100768
23541,215.7864595,50.54420446,540.2202516079409
25811,882.61451185,411.56795439999996,539.1208351217934
29037,466.43555004999996,166.9104395,537.5055755574217
25905,1565.2774505000002,878.8154337000001,536.2105425540202
5775,358.48183365,1139.35213725,535.1799598288384
55,1462.810432,806.5310066,534.0187552354844
29856,1484.157991,822.1670295,533.0206848287322
6492,481.37137540000003,175.90729745,530.4402049856159
25815,234.95543205,58.722742595,528.8915241364583
13962,1851.2070505000002,1091.44432095,528.8766400019689
6742,2764.7103235,1795.9582280000002,522.5514758106282
8228,521.1155815,199.01856937000002,521.2904783281596
24382,641.51242895,268.25977875,519.3381636654448
29608,816.6526971500001,375.73108215,517.4229117850699
18190,31.635154255000003,1.7339060035,515.6477024666073
28588,31.632272925,1.7339060035,515.5483300526247
14804,983.4303136000001,1994.1051845000002,512.2416322912538
29230,21.886410695,0.866953002,509.62116826237934
29997,38.943110261499996,2.6008590055000003,507.81654198141547
29256,806.9442497,373.52394860000004,502.9213203322155
20614,2375.3253649999997,1505.6000295,502.40578134273164
28672,462.2426988000001,170.1173211,501.63755074772155
2590,1486.2587385,837.9405074,501.6066475659593
8172,699.3479038,307.1089999,500.96662026436906
8373,73.67896263,8.505866056,499.3650839408339
374,177.86346905,816.1385470499999,499.17391681653686
12794,2720.6061065000004,1781.728783,494.73895072756665
16251,615.7271056499999,258.7410601,492.5350335512
30525,21.529082765,0.866953002,492.44146494465963
16436,1277.552567,694.8932621,488.55253619899946
26726,102.91943063549999,15.60515403,488.54262408980304
21688,430.65080725,155.31272255,488.1188072783828
12571,1269.685547,689.80657485,487.4694365081415
25381,1932.660788,1176.8789425,485.3568003978334
10900,243.25181320000002,904.541544645,483.45386843036204
17135,143.5166393,27.742496055,483.1451437369153
6006,30.583339785,1.7339060035,480.00862090166555
10977,202.59121525,49.088993175,480.0043891297965
23397,138.36993887,26.22088721,479.6714042322959
29044,243.58320915000002,65.93706133,478.61025648904655
29503,382.84937055,131.87412266,477.6416614792965
27819,277.33351765,80.83892633500001,477.6179764689951
17715,963.3276186,483.1182236,477.3180802991056
29061,1205.7350732,650.0155585000001,475.1027494342712
18506,452.7302672,170.1173211,469.4999708840439
6859,30.2490625075,1.7339060035,468.94938295749057
5902,422.976879305,154.29986995,467.8379533264588
22316,1945.5045095,1197.637181,467.0074960187186
25854,904.0254171000001,447.44035540000004,465.916665878799
26425,417.02615894999997,1146.4831695999999,464.1215366223673
10617,866.6412789,1773.8242795,463.95858151721717
1892,140.424585165,27.742496055,457.68243711818303
17350,81.710218504,10.943061099,457.6407389008991
1424,414.02058755,151.0929883,457.5389184182851
24262,749.96758255,351.0140394499999,453.44035184870614
48,881.3465973500001,436.90412419999996,452.1108888623502
17174,1529.1266505,894.1063640499999,451.0098355372961
8422,93.519371025,14.083545187,448.0441779950152
8221,272.72283054999997,81.63948175499999,447.2449530765842
30618,854.2558170500001,421.69269570000006,443.71376564029697
16721,817.8399340000001,1677.968458,440.90285146374214
19467,52.13259187,5.0380540495,440.2286023006481
31298,469.6226881,1193.88135485,439.36578306677086
30877,592.0713002999998,258.0022423,432.5626572781429
7074,20.163160338999997,0.866953002,429.485354723407
16592,1985.8509995,1253.7899335,427.4347640174735
11530,99.07814468,16.14477911,426.0165517227234
9075,1266.7865849999998,714.9968451,425.83672801566814
