,control_day1,covid_day1,chi,control_day3,covid_day3,chi,control_day7,covid_day7,chi,control_day14,covid_day14,chi
396,,,,19.11710853,8.66953002,12.590289954681282,2.4543097885,6.902962132,2.8669587482720447,30.797835685,66.47176993000001,19.1454144497245
397,166.77963108,104.04027074800001,37.83368984498919,17.37368885,55.860953235,26.51708275742046,,,,,,
399,19.69109762,8.556416245,14.489843150772515,,,,,,,52.64303093,15.338782032,90.72473830977864
401,,,,,,,,,,0.8610357835,1.9440394204999998,0.6033297809637844
413,,,,,,,981.58686425,288.89906155,1660.844412006897,,,
415,,,,,,,34.823663249999996,2.053290351,523.0128994744949,5.35339639,11.0131693545,2.9086114068150932
417,612.9613964,358.63473895000004,180.35633937488535,,,,,,,,,
419,,,,,,,,,,8.635523351,4.832073390000001,2.993793851676349
426,,,,,,,,,,36.81343922,0.0337105055,40128.39393085387
428,,,,,,,10.8967624385,22.2451976385,5.789428513132472,,,
433,,,,26.070617935,16.308443071,5.843602461646258,,,,,,
434,,,,,,,,,,31.366296017,0.0674210115,14529.885488441725
435,,,,8.3367198195,3.467812007,6.8360866271790215,15.733609355,6.619408035,12.549258976371553,,,
436,148.17220481,87.827962005,41.460914685706705,40.306151355,88.47783938,26.227036548797887,142.51687776,408.6092635,173.2832905997124,,,
441,60.989539615,36.603580335000004,16.246361819343534,,,,,,,,,
445,13.585535445,0.6660032164999999,250.62088120298165,,,,,,,,,
446,10.189151585,20.497570025,5.184199424835582,,,,24.66097258,56.288204585,17.770717891482672,8.310867125,16.99119915,4.434540693629655
447,81.76430855,47.02825576,25.65677471831599,15.278703895,49.4649543,23.626822935392113,,,,,,
448,76.74241771,47.717711030000004,17.654526583020722,83.05020893,40.95908824,43.25444039572073,,,,,,
450,,,,,,,,,,16.7906656805,0.40452606799999996,663.7534454277534
455,3.938219524,41.382863125,33.88120657990143,15.97319044,56.988836590000005,29.519522239153865,,,,,,
457,,,,,,,200.90973144999998,98.78640813999999,105.57295644456042,,,
458,27.712906549,82.22165613000001,36.13651099640249,,,,65.79779882,41.04622725,14.925617681094725,52.224627885,29.138351880000002,18.291224636657056
459,,,,,,,,,,290.51945196500003,89.191948005,454.4442044083576
460,,,,20.163160338999997,2.6008590055000003,118.58944582401958,,,,,,
461,,,,,,,,,,3.9059619525,0.471947079,24.9868230489021
466,,,,4.8614057855,37.86723735,28.76853431886667,5.31767121,43.555398065,33.569289226919345,,,
468,,,,,,,1.2271548945,2.5666129385,0.6990332763945529,,,
469,,,,,,,1677.9561915,951.6897004,554.2384412408907,,,
470,,,,112.88143552,298.88182855,115.75192234052757,219.36839615000002,84.29849145,216.41999568269958,10.881703654999999,6.3264051585,3.2800214137937354
471,65.324224935,31.299006658499998,36.988888861399836,,,,,,,,,
478,,,,,,,,,,52.387267937000004,10.3382565005,171.0268421664131
489,15.211042431000001,40.92478389,16.15638341786966,,,,,,,,,
490,70.34611576100001,16.873639095,169.45400720602024,12.5036390645,34.67812007,14.17918868931583,,,,,,
495,416.30151609999996,1172.485821,487.69434370592376,,,,1237.7238052,626.49748155,596.3274070925028,,,
501,,,,,,,,,,2.9949070725,39.1719087525,33.41107166423682
507,13.585535445,8.231231988000001,3.4829009255767476,,,,,,,,,
509,34.360304389999996,1.3320064325,818.9663648410334,2.777946163,19.44892716,14.289816868352915,,,,,,
510,,,,,,,56.026661695,36.115877065,10.976871581126153,21.4827907375,7.1694689705000005,28.575502711379784
513,,,,75.799879563,49.4163211,14.086280436819877,22.1389764,114.231261185,74.2440276763328,,,
514,22.545645815,192.4498613,149.9998090129739,133.08781585,292.84402635,87.15235585108702,,,,,,
516,13.585535445,33.250112199499995,11.629902979378116,2.777946163,8.66953002,4.003764940427877,,,,,,
520,,,,12.169361791,0.866953002,147.34875378361562,,,,,,
521,,,,,,,,,,32.03385873,13.417283207,25.83063045302258
522,,,,,,,,,,0.112309015,15.45248893,15.228687164286448
523,,,,78.17727782,38.5218932,40.822228575207525,,,,,,
524,3.938219524,29.974817577499998,22.6157986265236,,,,,,,,,
525,,,,11.812033859,1.7339060035,58.577951092378825,17.1504116005,61.566864054999996,32.043555879027124,8.554359296000001,3.0339455095,10.044665693155975
526,,,,,,,,,,78.586725385,45.937453995,23.204919506725318
530,,,,,,,,,,27.84036495,57.78281843,15.515866909262563
531,95.640583774,26.010067689499998,186.40508083533626,0.694486541,17.878685115,16.51668893608475,4.4277952795,37.969948245,29.630696842183703,,,
532,,,,,,,,,,1.64719889,6.427837846000001,3.555551551731657
